num_date_time,answer
1_20240825 00,3979.5031601572036
1_20240825 01,3712.8682026886936
1_20240825 02,3508.3209943556785
1_20240825 03,3385.950936784744
1_20240825 04,3347.568202790022
1_20240825 05,3542.830353798866
1_20240825 06,4272.985349299907
1_20240825 07,5407.396499576568
1_20240825 08,6302.78931013584
1_20240825 09,6694.249828448295
1_20240825 10,6875.313131990431
1_20240825 11,6954.432223620413
1_20240825 12,6981.018910660743
1_20240825 13,6990.197356238365
1_20240825 14,6988.330490841865
1_20240825 15,6985.680506958961
1_20240825 16,6976.297930970191
1_20240825 17,6955.890828194617
1_20240825 18,6818.551887574195
1_20240825 19,6338.746325340271
1_20240825 20,5598.2023909234995
1_20240825 21,5312.021204295158
1_20240825 22,5003.316268100738
1_20240825 23,4521.486103334427
1_20240826 00,4099.207088985443
1_20240826 01,3844.8240387940405
1_20240826 02,3627.884629919529
1_20240826 03,3401.0589068734644
1_20240826 04,3235.1133160078525
1_20240826 05,3302.1617124938966
1_20240826 06,3831.6889891290666
1_20240826 07,4776.701820030212
1_20240826 08,5516.213225712776
1_20240826 09,5856.484146394729
1_20240826 10,5956.629041519165
1_20240826 11,6003.474744000434
1_20240826 12,6097.749961938858
1_20240826 13,6235.180204524993
1_20240826 14,6380.174035563468
1_20240826 15,6507.397015299797
1_20240826 16,6587.208665742874
1_20240826 17,6575.609604635238
1_20240826 18,6323.749420752525
1_20240826 19,5521.961909236908
1_20240826 20,5398.729122319221
1_20240826 21,5683.282461705207
1_20240826 22,5242.736002435684
1_20240826 23,4614.979316225052
1_20240827 00,4200.03674885273
1_20240827 01,4051.7048288726805
1_20240827 02,3926.1430995368955
1_20240827 03,3709.2749507331846
1_20240827 04,3667.4796201968193
1_20240827 05,4292.644035758972
1_20240827 06,4834.150427212715
1_20240827 07,5484.246774473189
1_20240827 08,6046.216311779022
1_20240827 09,6114.256689276695
1_20240827 10,6058.485291781424
1_20240827 11,6055.879845442771
1_20240827 12,6128.334264721871
1_20240827 13,6252.31639582157
1_20240827 14,6406.89285065174
1_20240827 15,6561.287443842888
1_20240827 16,6697.512203564644
1_20240827 17,6768.611939206123
1_20240827 18,6538.4949844264975
1_20240827 19,5688.733857121468
1_20240827 20,5418.284815707206
1_20240827 21,5666.920852532387
1_20240827 22,4940.409213724136
1_20240827 23,4259.374861350059
1_20240828 00,3861.4829360747335
1_20240828 01,3765.8415289664267
1_20240828 02,3721.2733651542662
1_20240828 03,3556.944858291149
1_20240828 04,3454.2388687992097
1_20240828 05,3806.8567101860044
1_20240828 06,4356.675291981697
1_20240828 07,5296.96528746128
1_20240828 08,5890.364227452277
1_20240828 09,5985.065521230697
1_20240828 10,5980.464792909621
1_20240828 11,6030.322717967032
1_20240828 12,6153.312404122353
1_20240828 13,6328.308209552764
1_20240828 14,6520.315501155852
1_20240828 15,6677.697450127602
1_20240828 16,6791.80226735115
1_20240828 17,6862.229857220649
1_20240828 18,6721.826733555794
1_20240828 19,5995.35183822155
1_20240828 20,5345.931348195076
1_20240828 21,5698.384029521942
1_20240828 22,5250.570898761749
1_20240828 23,4606.570999016762
1_20240829 00,4160.529349079132
1_20240829 01,3983.9741728806493
1_20240829 02,3893.499492051601
1_20240829 03,3735.081488456726
1_20240829 04,3542.5352925682064
1_20240829 05,3761.8582023525237
1_20240829 06,4300.327318861484
1_20240829 07,5209.262326469421
1_20240829 08,5824.044483747482
1_20240829 09,5967.646887674331
1_20240829 10,5976.706566467285
1_20240829 11,6030.202466597557
1_20240829 12,6159.883176484107
1_20240829 13,6344.515421905517
1_20240829 14,6541.492732300758
1_20240829 15,6704.001323761939
1_20240829 16,6820.232437577248
1_20240829 17,6902.194509115219
1_20240829 18,6801.189668240546
1_20240829 19,6184.99641310215
1_20240829 20,5434.329837169647
1_20240829 21,5663.297723307609
1_20240829 22,5096.982435121536
1_20240829 23,4423.37323366642
1_20240830 00,3990.8505841398237
1_20240830 01,3818.0163341903685
1_20240830 02,3725.879289522171
1_20240830 03,3595.356634476185
1_20240830 04,3425.442098912001
1_20240830 05,3613.786270287037
1_20240830 06,4179.703504171372
1_20240830 07,5192.959729542732
1_20240830 08,5778.401666107177
1_20240830 09,5908.321765294075
1_20240830 10,5938.65591553688
1_20240830 11,6000.4833056116095
1_20240830 12,6131.143470325469
1_20240830 13,6316.425963892936
1_20240830 14,6517.032712998389
1_20240830 15,6684.306821694374
1_20240830 16,6801.93010491371
1_20240830 17,6882.0639102602
1_20240830 18,6762.015928902625
1_20240830 19,6186.398974599837
1_20240830 20,5511.146337761878
1_20240830 21,5623.3301022434225
1_20240830 22,4890.747253861427
1_20240830 23,4211.032697381973
1_20240831 00,3832.515346148014
1_20240831 01,3698.79972032547
1_20240831 02,3631.7979954743387
1_20240831 03,3519.9180141592024
1_20240831 04,3382.3143535101412
1_20240831 05,3591.450877418518
1_20240831 06,4323.3224241042135
1_20240831 07,5590.988422193526
1_20240831 08,6160.152628626824
1_20240831 09,6251.291661157607
1_20240831 10,6352.433083834647
1_20240831 11,6503.398657264708
1_20240831 12,6687.022869601249
1_20240831 13,6841.654996361733
1_20240831 14,6927.354510154724
1_20240831 15,6956.94562570095
1_20240831 16,6957.983350481987
1_20240831 17,6947.5066354894625
1_20240831 18,6843.17298432827
1_20240831 19,6425.892567028999
1_20240831 20,5776.57599793911
1_20240831 21,5243.733643426895
1_20240831 22,4644.989826979637
1_20240831 23,3962.8490877771374
2_20240825 00,1080.9036869466304
2_20240825 01,1066.2543255239725
2_20240825 02,1057.7372870618105
2_20240825 03,1061.1768118536472
2_20240825 04,1119.128919239044
2_20240825 05,1243.6786874556542
2_20240825 06,1425.1449925374986
2_20240825 07,1584.9949654340744
2_20240825 08,1688.415457162857
2_20240825 09,1740.0450401115418
2_20240825 10,1760.3848274374009
2_20240825 11,1752.9992385292053
2_20240825 12,1734.978737397194
2_20240825 13,1716.7113503766059
2_20240825 14,1712.8383411169052
2_20240825 15,1740.7457510948182
2_20240825 16,1805.3338699293136
2_20240825 17,1892.5285929107667
2_20240825 18,1957.6583355903626
2_20240825 19,1917.1564572143557
2_20240825 20,2226.5929739427565
2_20240825 21,2021.9621403837205
2_20240825 22,1528.8593127536774
2_20240825 23,1291.5509036421777
2_20240826 00,1167.9755266571044
2_20240826 01,1149.6215301918983
2_20240826 02,1144.238207527399
2_20240826 03,1189.675320124626
2_20240826 04,1389.0127635240556
2_20240826 05,1604.9067425966264
