iter	RMSE
0	3620.755887
1	3310.116561
2	3024.651285
3	2769.424458
4	2534.588794
5	2320.334334
6	2125.202465
7	1946.893005
8	1785.231693
9	1638.92768
10	1507.152142
11	1385.649647
12	1277.13245
13	1177.776952
14	1088.950321
15	1008.067198
16	935.4363493
17	870.0421715
18	811.1840732
19	757.5075611
20	709.8900471
21	667.5636161
22	629.8238701
23	595.89506
24	566.0426053
25	538.5581835
26	515.7864695
27	494.365905
28	475.7691059
29	458.0784313
30	443.6126635
31	431.5424166
32	421.0805187
33	410.6303925
34	401.1491841
35	393.4552035
36	386.0821269
37	379.2835313
38	373.9450867
39	368.5727246
40	361.8789962
41	356.7730122
42	352.5429739
43	347.2756419
44	344.338653
45	341.6018569
46	338.6390594
47	336.2602107
48	333.8758466
49	330.8694295
50	329.0318739
51	325.5310423
52	323.2527845
53	321.0907724
54	319.4163325
55	317.47192
56	315.8700789
57	314.1660704
58	312.0299949
59	310.577544
60	308.5536595
61	307.1725733
62	306.3518362
63	304.5466983
64	302.570936
65	300.4707586
66	299.4793086
67	298.4138939
68	297.0296889
69	296.1398638
70	294.5303077
71	292.7693978
72	292.004329
73	291.0651612
74	290.1106769
75	289.3367759
76	288.2755908
77	287.5462598
78	286.0997722
79	285.3767564
80	284.5312649
81	283.9743474
82	283.2628302
83	282.2249299
84	281.0232822
85	279.7668898
86	279.0628445
87	277.7249294
88	277.2488996
89	276.4715187
90	276.05075
91	275.5486246
92	274.8796844
93	273.5136618
94	272.9843706
95	272.3820022
96	271.6821107
97	270.9064776
98	270.2482827
99	269.74789
100	268.5207805
101	268.10525
102	267.1837017
103	266.6315145
104	265.5549493
105	265.1308325
106	264.4391479
107	263.9468887
108	262.9871191
109	262.7409663
110	262.0696113
111	261.6468498
112	261.1314707
113	260.540122
114	260.1590755
115	259.6450495
116	258.9281469
117	258.1682096
118	257.6870375
119	257.3452832
120	256.9154204
121	256.2706521
122	255.8254073
123	255.3019228
124	254.9310342
125	254.5264267
126	254.0360345
127	253.6066095
128	253.3011913
129	252.8625346
130	252.5162737
131	252.1798326
132	251.9012937
133	251.4581682
134	250.6583365
135	250.3167439
136	249.865856
137	249.3956312
138	249.1482144
139	248.9117698
140	248.6431856
141	248.2624216
142	247.5817588
143	246.9693704
144	246.7703291
145	246.2127502
146	245.9813753
147	245.6393431
148	245.26586
149	245.0604756
150	244.6665484
151	244.0865126
152	243.8727498
153	243.7009754
154	243.2974988
155	242.902011
156	242.4974203
157	241.9470185
158	241.5069334
159	241.0479932
160	240.4052822
161	240.1772564
162	239.8566506
163	239.6512283
164	239.1978959
165	238.6961244
166	238.4007849
167	238.0790839
168	237.7297353
169	237.4398341
170	236.9077107
171	236.6642347
172	236.5202513
173	236.0581258
174	235.9141097
175	235.6638506
176	235.2448968
177	234.9007804
178	234.6755172
179	234.3870501
180	233.9923403
181	233.6367461
182	233.3701483
183	233.0018923
184	232.7151793
185	232.2360179
186	232.0246374
187	231.8384885
188	231.6887756
189	231.4053756
190	231.1582067
191	230.976644
192	230.7101499
193	230.5288266
194	230.2993795
195	230.1288549
196	229.9598855
197	229.6922976
198	229.5372977
199	229.3117535
200	229.0808218
201	228.9018085
202	228.7673973
203	228.5649049
204	228.4096544
205	228.283847
206	228.0898344
207	227.7610437
208	227.6050566
209	227.3215087
210	226.9194392
211	226.7412388
212	226.4951269
213	226.2699599
214	226.1184855
215	225.9374944
216	225.7731706
217	225.5025261
218	225.307151
219	225.1818847
220	225.0766707
221	224.9334095
222	224.7156382
223	224.5153073
224	224.1287523
225	224.0070644
226	223.7630666
227	223.3939726
228	223.2410186
229	222.9589241
230	222.6342683
231	222.5387538
232	222.4059302
233	222.1994101
234	222.1016735
235	221.9734663
236	221.5369527
237	221.2216813
238	220.9228598
239	220.7136984
240	220.5471964
241	220.3143805
242	220.1837601
243	220.0225563
244	219.9396668
245	219.8351605
246	219.6239784
247	219.2538346
248	219.0103627
249	218.6967015
250	218.5790528
251	218.2408963
252	218.113147
253	218.005754
254	217.9042524
255	217.633252
256	217.3883681
257	217.3012608
258	217.0733945
259	216.8709307
260	216.5572562
261	216.4178724
262	216.3379371
263	216.2716937
264	216.0273799
265	215.8515453
266	215.7674079
267	215.7173839
268	215.5091076
269	215.3963818
270	215.0577661
271	214.9511271
272	214.7444414
273	214.6022966
274	214.3616114
275	214.0529116
276	213.9217836
277	213.7699012
278	213.5841987
279	213.4207949
280	213.334263
281	213.1872138
282	213.052208
283	212.8980768
284	212.7319424
285	212.5307657
286	212.4350465
287	212.2724392
288	212.1279061
289	211.8449021
290	211.6764578
291	211.4890904
292	211.3642113
293	211.306338
294	211.0951392
295	210.899606
296	210.6707187
297	210.5059871
298	210.3277241
299	210.2684368
300	210.1790787
301	210.1194522
302	210.0039451
303	209.8816266
304	209.7751772
305	209.5465796
306	209.348155
307	209.257365
308	209.1406617
309	209.0188033
310	208.8482932
311	208.7884632
312	208.5617519
313	208.4757402
314	208.1895042
315	208.1400546
316	208.0110862
317	207.8042707
318	207.6466075
319	207.5161939
320	207.4285408
321	207.3532898
322	207.1878352
323	207.0850747
324	206.9452824
325	206.7915282
326	206.6675642
327	206.5573731
328	206.4741262
329	206.4015485
330	206.3045824
331	206.1414646
332	206.0516533
333	205.948105
334	205.8062159
335	205.6355007
336	205.5598615
337	205.3842725
338	205.2593597
339	205.1240876
340	205.0287496
341	204.988778
342	204.7798848
343	204.6316983
344	204.5178062
345	204.3821851
346	204.232884
347	204.1749076
348	203.9226659
349	203.7684465
350	203.6954372
351	203.5196113
352	203.4383587
353	203.2804356
354	203.0874598
355	202.9490503
356	202.8403928
357	202.7949345
358	202.7437561
359	202.5894071
360	202.4518166
361	202.4084463
362	202.2712567
363	202.2059427
364	202.0185711
365	201.9494273
366	201.8297842
367	201.7873137
368	201.6293539
369	201.4762482
370	201.4071491
371	201.2956315
372	201.1754147
373	201.0649336
374	200.9551328
375	200.8764854
376	200.8310574
377	200.7258454
378	200.5763645
379	200.4385375
380	200.3059655
381	200.1039879
382	200.0589633
383	199.9789326
384	199.9302926
385	199.856418
386	199.7379043
387	199.6079743
388	199.5036229
389	199.4219074
390	199.3607389
391	199.321368
392	199.2145648
393	199.1254994
394	199.0429649
395	198.934316
396	198.8330523
397	198.6766725
398	198.575776
399	198.5363902
400	198.4908906
401	198.4182628
402	198.351023
403	198.1716269
404	198.1064027
405	198.0572812
406	197.8923206
407	197.8084653
408	197.7166024
409	197.541343
410	197.4222241
411	197.3080469
412	197.1895833
413	197.0992262
414	197.0140547
415	196.8981078
416	196.8451178
417	196.7425006
418	196.6378476
419	196.5406794
420	196.4837632
421	196.4200224
422	196.3196871
423	196.2831192
424	196.1810674
425	196.0920475
426	196.0137867
427	195.8954133
428	195.7454063
429	195.6373492
430	195.5550634
431	195.4694797
432	195.4296046
433	195.3498124
434	195.2834361
435	195.2007947
436	195.1084522
437	195.0686044
438	194.9782101
439	194.8896014
440	194.7469538
441	194.6647047
442	194.5891162
443	194.4631547
444	194.3832916
445	194.2927636
446	194.2145006
447	194.1302756
448	194.0213167
449	193.9354292
450	193.8353608
451	193.7413002
452	193.6589087
453	193.5809049
454	193.5324293
455	193.4724187
456	193.4149434
457	193.3532685
458	193.2994875
459	193.2010207
460	193.1220029
461	193.0123568
462	192.9754085
463	192.9205435
464	192.855214
465	192.8205787
466	192.7625421
467	192.6701319
468	192.5768659
469	192.5039579
470	192.4525581
471	192.339732
472	192.2623937
473	192.1779794
474	192.1047506
475	192.053089
476	192.0004505
477	191.8834702
478	191.8074259
479	191.7488305
480	191.6908651
481	191.5688063
482	191.4831675
483	191.3907033
484	191.3421455
485	191.2579401
486	191.2242971
487	191.1722026
488	191.1025069
489	191.0564472
490	190.948714
491	190.8915021
492	190.8280998
493	190.7854537
494	190.7138186
495	190.6397093
496	190.5384961
497	190.4977885
498	190.410699
499	190.3271042
500	190.3087087
501	190.2169811
502	190.1267291
503	190.0873305
504	190.0545247
505	189.971887
506	189.8836603
507	189.780519
508	189.7400033
509	189.6124247
510	189.5490998
511	189.4581923
512	189.426012
513	189.3923577
514	189.3140747
515	189.1748155
516	189.1267719
517	189.0460235
518	188.9683913
519	188.9270279
520	188.8076192
521	188.6813333
522	188.6030702
523	188.5550119
524	188.3697022
525	188.3321036
