num_date_time,answer
1_20240825 00,7666.9366630027125
1_20240825 01,7792.017279334465
1_20240825 02,7955.096169736904
1_20240825 03,7748.208505572646
1_20240825 04,7920.579479316228
1_20240825 05,7836.85552080072
1_20240825 06,7820.649405007231
1_20240825 07,7875.304397159174
1_20240825 08,7745.083795287344
1_20240825 09,7803.807130577634
1_20240825 10,7723.577547813147
1_20240825 11,7849.886196090827
1_20240825 12,7856.69706795188
1_20240825 13,7838.463234488609
1_20240825 14,7803.946373143268
1_20240825 15,7871.122227562677
1_20240825 16,7884.368259913028
1_20240825 17,7739.255844266401
1_20240825 18,7841.671865728715
1_20240825 19,7717.189536870414
1_20240825 20,7801.791799629495
1_20240825 21,7790.286147486429
1_20240825 22,7894.159651085856
1_20240825 23,7890.605130911581
1_20240826 00,7881.171359407243
1_20240826 01,7565.185697139328
1_20240826 02,7793.37440149412
1_20240826 03,7808.150302166598
1_20240826 04,7789.685031279758
1_20240826 05,7735.550487945005
1_20240826 06,7853.272441474888
1_20240826 07,7782.7015423687335
1_20240826 08,7914.487343949686
1_20240826 09,7810.41478008677
1_20240826 10,7909.384627615847
1_20240826 11,7747.401821355019
1_20240826 12,7824.957513771895
1_20240826 13,7974.535962014215
1_20240826 14,7772.057554454801
1_20240826 15,7844.3674924347815
1_20240826 16,7689.141560649694
1_20240826 17,7913.473418294603
1_20240826 18,7952.242713892512
1_20240826 19,6685.300098576607
1_20240826 20,7835.618262950269
1_20240826 21,7893.152274035272
1_20240826 22,7888.210683417281
1_20240826 23,7871.189249099954
1_20240827 00,7808.320595434083
1_20240827 01,7785.446221791422
1_20240827 02,7860.444934098323
1_20240827 03,7899.591015534243
1_20240827 04,7850.822401780333
1_20240827 05,7970.997665180956
1_20240827 06,8252.62793592815
1_20240827 07,7850.157199168192
1_20240827 08,7778.598990305743
1_20240827 09,7750.95345000489
1_20240827 10,7786.315800504015
1_20240827 11,7919.966762491047
1_20240827 12,7734.401514925476
1_20240827 13,7719.775808208344
1_20240827 14,7887.724216135888
1_20240827 15,7873.889074560773
1_20240827 16,7740.341837512684
1_20240827 17,7653.584687737479
1_20240827 18,7822.568886048486
1_20240827 19,7787.912161280137
1_20240827 20,7885.795243489765
1_20240827 21,7817.872157553857
1_20240827 22,7831.498822103338
1_20240827 23,7809.9776842858555
1_20240828 00,7730.241001834658
1_20240828 01,7777.29674862986
1_20240828 02,7839.0628356971465
1_20240828 03,7916.323638851058
1_20240828 04,7923.083250765943
1_20240828 05,7873.2316572811815
1_20240828 06,7778.677261388448
1_20240828 07,7889.026125682143
1_20240828 08,7713.769671601807
1_20240828 09,7759.914589657683
1_20240828 10,7778.351657305157
1_20240828 11,7768.585614174603
1_20240828 12,7859.991733973478
1_20240828 13,7819.686292858611
1_20240828 14,7827.40548379028
1_20240828 15,7857.285546350175
1_20240828 16,7806.204550000586
1_20240828 17,7663.922835100209
1_20240828 18,7814.158922756205
1_20240828 19,7866.841651946517
1_20240828 20,7889.263729378728
1_20240828 21,7936.197050290462
1_20240828 22,7912.37939217022
1_20240828 23,7775.704875437867
1_20240829 00,7804.797095474962
1_20240829 01,7876.46793278236
1_20240829 02,7874.578655952113
1_20240829 03,7839.723581180775
