num_date_time,answer
1_20240825 00,4572.459071355835
1_20240825 01,2480.9128635954703
1_20240825 02,4968.487508831909
1_20240825 03,2594.618271151917
1_20240825 04,3439.251184935083
1_20240825 05,3476.5195834298042
1_20240825 06,4599.6289351149
1_20240825 07,3077.51250390074
1_20240825 08,5051.245156212039
1_20240825 09,2855.178623262393
1_20240825 10,2404.998729904857
1_20240825 11,2709.686580870027
1_20240825 12,6757.449599395264
1_20240825 13,2963.015528899479
1_20240825 14,5124.353015859282
1_20240825 15,4132.016445162544
1_20240825 16,7329.754900906495
1_20240825 17,4685.188615713708
1_20240825 18,3276.989418494508
1_20240825 19,5392.985928772299
1_20240825 20,3892.2715465821066
1_20240825 21,4126.064883321299
1_20240825 22,3006.0170946216804
1_20240825 23,7360.303937265862
1_20240826 00,5019.341736356875
1_20240826 01,2404.748849826602
1_20240826 02,4721.18820000829
1_20240826 03,5286.82581099878
1_20240826 04,3326.1251499320842
1_20240826 05,5514.573114009736
1_20240826 06,3258.8587816542868
1_20240826 07,3530.3851703753257
1_20240826 08,7628.303515552167
1_20240826 09,4381.076472751738
1_20240826 10,2674.940581267718
1_20240826 11,2494.9887042876444
1_20240826 12,4887.701959135382
1_20240826 13,2439.185479732036
1_20240826 14,6211.359354046452
1_20240826 15,4618.305290807801
1_20240826 16,3784.9062881884747
1_20240826 17,5413.287362439081
1_20240826 18,3206.842789094992
1_20240826 19,2953.25936884602
1_20240826 20,4347.2712086034935
1_20240826 21,5634.424736104046
1_20240826 22,4175.163246648228
1_20240826 23,6856.668099074437
1_20240827 00,2739.2149332642334
1_20240827 01,4150.836702978151
1_20240827 02,2716.657250147256
1_20240827 03,7435.579932858356
1_20240827 04,3805.0783710298656
1_20240827 05,5413.9113308391825
1_20240827 06,4234.044439875308
1_20240827 07,5236.704236750841
1_20240827 08,4446.903749142302
1_20240827 09,2733.1729405347655
1_20240827 10,4693.4343115550855
1_20240827 11,4925.0060284356105
1_20240827 12,4410.112963933339
1_20240827 13,4427.501846575078
1_20240827 14,6977.377753180363
1_20240827 15,3419.100128911504
1_20240827 16,4488.111956029819
1_20240827 17,4117.776394835874
1_20240827 18,3784.6832315134525
1_20240827 19,2743.681705750392
1_20240827 20,3090.8878986118953
1_20240827 21,2705.239958090371
1_20240827 22,4293.93800306175
1_20240827 23,3933.539892096206
1_20240828 00,3992.678179826209
1_20240828 01,3693.375052988904
1_20240828 02,4928.383968464743
1_20240828 03,7823.641807396269
1_20240828 04,7278.950585204639
1_20240828 05,2239.9676670400663
1_20240828 06,4411.631226228878
1_20240828 07,4358.445211076401
1_20240828 08,5123.407741618234
1_20240828 09,4687.3942787007545
1_20240828 10,2316.1798781091684
1_20240828 11,4262.046677076772
1_20240828 12,4442.233177161372
1_20240828 13,5539.3203820626095
1_20240828 14,5257.502550322377
1_20240828 15,4610.434941506232
1_20240828 16,4114.095818527274
1_20240828 17,4785.695450592282
1_20240828 18,4466.449319030828
1_20240828 19,4556.284884051001
1_20240828 20,7620.212125749646
1_20240828 21,4457.505660666631
1_20240828 22,7460.127249730545
1_20240828 23,4809.318745054468
1_20240829 00,3138.16006355189
1_20240829 01,3406.1272033468385
1_20240829 02,2662.128679966341
1_20240829 03,2244.3236951532735
1_20240829 04,4202.924973433772
1_20240829 05,5367.162299588128
1_20240829 06,3848.730542577616
1_20240829 07,2559.88040559974
1_20240829 08,3800.1173066175133
1_20240829 09,4570.633755658132
1_20240829 10,3024.3114863362052
1_20240829 11,4926.097453983892
1_20240829 12,2156.9628498365155
1_20240829 13,4927.592801614504
1_20240829 14,4325.471734074709
1_20240829 15,6643.517924629978
1_20240829 16,4386.463991963721
1_20240829 17,2446.4223398253907
1_20240829 18,4632.34097854699
1_20240829 19,2308.1962231190905
1_20240829 20,5084.193323458903
1_20240829 21,2389.3504401946534
1_20240829 22,4546.36930137175
1_20240829 23,4300.877790265089
1_20240830 00,6219.3017276188075
1_20240830 01,4582.063162038778
1_20240830 02,4474.08535947367
1_20240830 03,7414.312444915269
1_20240830 04,3731.713851978359
1_20240830 05,3081.1855765411774
1_20240830 06,2628.117582453919
1_20240830 07,3816.503997839466
1_20240830 08,4335.034930635193
1_20240830 09,5498.672322698385
1_20240830 10,7104.539957458759
1_20240830 11,4087.071241606242
1_20240830 12,4893.038124489685
1_20240830 13,2649.130896400218
1_20240830 14,4407.6781252351775
1_20240830 15,5428.800192180377
1_20240830 16,4934.705606435688
1_20240830 17,3305.796990009736
1_20240830 18,3724.6331903281234
1_20240830 19,7336.61582582924
1_20240830 20,2697.1074907649127
1_20240830 21,3800.835297042706
1_20240830 22,3397.942622720959
1_20240830 23,4191.229671157109
1_20240831 00,3078.251577958439
1_20240831 01,4686.47905351683
1_20240831 02,3276.022751698296
1_20240831 03,2545.667410278651
1_20240831 04,3793.187554758137
1_20240831 05,4123.8100531077525
1_20240831 06,4041.868659600882
1_20240831 07,7417.220078350985
1_20240831 08,5547.434817400919
1_20240831 09,4953.840803184045
1_20240831 10,2406.227442787733
1_20240831 11,5245.8813977315385
1_20240831 12,4733.520471792042
1_20240831 13,3224.3663793124
1_20240831 14,4330.604721442307
1_20240831 15,4850.943679537498
1_20240831 16,4032.6834954799865
1_20240831 17,3427.217384445062
1_20240831 18,4366.514158966238
1_20240831 19,3494.9499213212293
1_20240831 20,2846.1777362190473
1_20240831 21,4033.6226049961883
1_20240831 22,7045.641353215244
1_20240831 23,3514.676552727119
2_20240825 00,2937.157107866363
2_20240825 01,1515.1764636394805
2_20240825 02,1673.1548500949416
2_20240825 03,1186.4455495156167
2_20240825 04,1932.787843305835
2_20240825 05,977.766070504056
2_20240825 06,1632.8202419452168
2_20240825 07,848.5074060509054
2_20240825 08,1053.015893928502
2_20240825 09,2871.2314606924447
2_20240825 10,1335.996557132315
2_20240825 11,1729.186170444684
2_20240825 12,1228.1472395232904
2_20240825 13,1762.1883552352913
2_20240825 14,909.5641077936862
2_20240825 15,1141.0253549565366
2_20240825 16,1702.8856814467963
2_20240825 17,1059.90772208834
2_20240825 18,2687.6762261457434
2_20240825 19,1391.1154060179956
2_20240825 20,1915.4854683139752
